treatment,1.5m*2.05m,total_boll_count(Including Open and Unopened Bolls),number_of_open_cotton_bolls,number_of_unopened_bolls,seed_cotton_weight(kg)(Fiber + Seed)(Rounded to 2 Decimal Places),lint_cotton_weight(kg)(Cotton Fiber)(Rounded to 2 Decimal Places),number_of_plants,Lint_cotton_yield (kg/Hectare),lint_cotton_yield_average(kg/Hectare),lint_cotton_yield(kg/mu),lint_cotton_yield_average(kg/mu),seed_cotton_yield(kg/Hectare),seed_cotton_yield_average(kg/Hectare),seed_cotton_yield(kg/mu),seed_cotton_yield_average(kg/mu) 
L1,Quadrat1(1-1),238,225,13,1.38,0.62,18,3024.39,3447.15,201.63,229.81,6731.71,7544.72,448.78,502.98
L1,Quadrat2(1-2),399,394,5,2.20,1.02,32,4975.61,,331.71,,10731.71,,715.45,
L1,Quadrat3(1-3),254,161,93,1.06,0.48,12,2341.46,,156.10,,5170.73,,344.72,
L2,Quadrat1(2-1),438,398,40,2.00,0.88,29,4292.68,4032.52,286.18,268.83,9756.10,8943.09,650.41,596.21
L2,Quadrat2(2-2),458,418,40,2.02,0.94,36,4585.37,,305.69,,9853.66,,656.91,
L2,Quadrat3(2-3),324,300,24,1.48,0.66,21,3219.51,,214.63,,7219.51,,481.30,
L3,Quadrat1(3-1),424,410,14,2.26,0.98,41,4780.49,3739.84,318.70,249.32,11024.39,8422.76,734.96,561.52
L3,Quadrat2(3-2),256,251,5,1.16,0.52,33,2536.59,,169.11,,5658.54,,377.24,
L3,Quadrat3(3-3),257,253,4,1.76,0.80,50,3902.44,,260.16,,8585.37,,572.36,
L4,Quadrat1(4-1),313,304,9,1.66,0.78,43,3804.88,4162.60,253.66,277.51,8097.56,8943.09,539.84,596.21
L4,Quadrat2(4-2),374,368,6,2.08,0.94,45,4585.37,,305.69,,10146.34,,676.42,
L4,Quadrat3(4-3),334,323,11,1.76,0.84,36,4097.56,,273.17,,8585.37,,572.36,
L5,Quadrat1(5-1),407,389,18,2.56,1.18,47,5756.10,4260.16,383.74,284.01,12487.80,9398.37,832.52,626.56
L5,Quadrat2(5-2),268,264,4,1.86,0.84,29,4097.56,,273.17,,9073.17,,604.88,
L5,Quadrat3(5-3),601,579,22,1.36,0.60,48,2926.83,,195.12,,6634.15,,442.28,
T1,Quadrat1(1-1),389,374,15,2.00,0.96,39,4682.93,5078.05,312.20,338.54,9756.10,9951.22,650.41,632.41
T1,Quadrat2(1-2),438,373,65,2.08,1.04,52,5073.17,,338.21,,10146.34,,676.42,
T1,Quadrat3(1-3),416,376,40,1.75,1.13,47,5478.05,,365.20,,8556.22,,570.41,
T2,Quadrat1(2-1),404,382,22,1.78,0.80,47,3902.44,3954.88,260.16,263.66,8832.93,8959.15,588.86,597.28
T2,Quadrat2(2-2),400,377,23,1.76,0.76,50,3707.32,,247.15,,8585.37,,572.36,
T2,Quadrat3(2-3),402,379,23,1.94,0.87,49,4254.88,,283.66,,9459.15,,630.61,
T3,Quadrat1(3-1),461,400,61,2.32,1.12,47,5463.41,5025.61,364.23,335.04,10117.07,9687.80,674.47,645.85
T3,Quadrat2(3-2),382,339,43,1.98,0.92,50,4487.80,,299.19,,9658.54,,643.90,
T3,Quadrat3(3-3),423,370,52,1.91,1.05,48,5125.61,,341.71,,9287.80,,619.19,
Tw,Quadrat1(4-1),355,336,19,1.62,0.74,61,3609.76,3465.85,240.65,231.06,7902.44,7519.51,526.83,501.30
Tw,Quadrat2(4-2),249,247,2,1.34,0.64,42,3121.95,,208.13,,6836.59,,455.77,
Tw,Quadrat3(4-3),302,293,12,1.60,0.75,53,3665.85,,244.39,,7819.51,,521.30,
Dt,Quadrat1(5-1),222,222,0,0.88,0.38,43,1853.66,1903.66,123.58,126.91,4292.68,4595.12,286.18,306.34
Dt,Quadrat2(5-2),195,195,0,0.84,0.38,40,1853.66,,123.58,,4097.56,,273.17,
Dt,Quadrat3(5-3),210,209,0,1.11,0.41,43,2003.66,,133.58,,5395.12,,359.67,
